trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_410_V6,07:54:33,07:53:51,90402,2,0,0
AIR_410_V6,07:43:27,07:52:48,90403,3,0,0
AIR_410_V6,07:44:47,07:43:26,90404,4,0,0
AIR_410_V6,07:56:35,08:01:30,90405,7,0,0
AIR_410_V6,08:01:24,08:04:42,90406,13,0,0
AIR_410_V7,07:47:18,07:42:27,90401,1,0,0
AIR_410_V7,07:42:09,07:47:06,90402,2,0,0
AIR_410_V7,07:45:34,07:54:20,90403,3,0,0
AIR_410_V7,07:46:45,07:50:05,90404,4,0,0
AIR_410_V7,07:55:29,07:56:51,90405,7,0,0
AIR_410_V7,07:58:59,07:58:07,90406,13,0,0
AIR_412_V5,08:23:56,08:09:48,90401,1,0,0
AIR_412_V5,08:13:23,08:16:26,90402,2,0,0
AIR_412_V5,08:24:15,08:22:28,90403,3,0,0
AIR_412_V5,08:17:05,08:14:23,90404,4,0,0
AIR_412_V5,08:20:50,08:22:54,90405,7,0,0
AIR_412_V5,08:38:26,08:30:31,90406,13,0,0
AIR_414_V6,08:50:40,08:42:24,90401,1,0,0
AIR_414_V6,08:53:03,08:50:07,90402,2,0,0
AIR_414_V6,08:46:13,08:48:22,90403,3,0,0
AIR_414_V6,08:44:02,08:44:16,90404,4,0,0
AIR_414_V6,08:51:13,08:47:10,90405,7,0,0
AIR_414_V6,09:00:00,09:02:39,90406,13,0,0
AIR_414_V7,08:44:52,08:52:18,90401,1,0,0
AIR_414_V7,08:45:23,08:41:50,90402,2,0,0
AIR_414_V7,08:51:38,08:55:30,90403,3,0,0
AIR_414_V7,08:56:55,08:48:38,90404,4,0,0
AIR_414_V7,08:49:45,09:00:38,90405,7,0,0
AIR_414_V7,08:59:34,09:05:37,90406,13,0,0
AIR_416_V5,09:23:32,09:12:00,90401,1,0,0
AIR_416_V5,09:12:09,09:15:40,90402,2,0,0
AIR_416_V5,09:24:22,09:20:44,90403,3,0,0
AIR_416_V5,09:19:17,09:21:48,90404,4,0,0
AIR_416_V5,09:21:07,09:29:44,90405,7,0,0
AIR_416_V5,09:29:16,09:34:30,90406,13,0,0
AIR_418_V6,09:50:31,09:48:34,90401,1,0,0
AIR_418_V6,09:41:31,09:48:56,90402,2,0,0
AIR_418_V6,09:44:13,09:44:22,90403,3,0,0
AIR_418_V6,09:48:27,09:56:12,90404,4,0,0
AIR_418_V6,10:01:36,09:48:41,90405,7,0,0
AIR_418_V6,10:09:00,09:58:47,90406,13,0,0
AIR_418_V7,09:39:30,09:41:44,90401,1,0,0
AIR_418_V7,09:44:28,09:55:44,90402,2,0,0
AIR_418_V7,09:54:55,09:48:01,90403,3,0,0
AIR_418_V7,09:43:42,09:44:26,90404,4,0,0
AIR_418_V7,10:01:11,09:49:23,90405,7,0,0
AIR_418_V7,09:59:35,10:01:41,90406,13,0,0
AIR_420_V5,10:09:57,10:18:08,90401,1,0,0
AIR_420_V5,10:11:41,10:14:15,90402,2,0,0
AIR_420_V5,10:25:36,10:20:54,90403,3,0,0
AIR_420_V5,10:19:44,10:16:28,90404,4,0,0
AIR_420_V5,10:23:13,10:26:55,90405,7,0,0
AIR_420_V5,10:37:26,10:31:00,90406,13,0,0
AIR_422_V6,10:41:19,10:48:30,90401,1,0,0
AIR_422_V6,10:53:53,10:43:44,90402,2,0,0
AIR_422_V6,10:43:34,10:55:43,90403,3,0,0
AIR_422_V6,10:47:57,10:47:56,90404,4,0,0
AIR_422_V6,10:50:12,10:53:36,90405,7,0,0
AIR_422_V6,11:06:14,10:58:58,90406,13,0,0
AIR_422_V7,10:49:38,10:46:30,90401,1,0,0
AIR_422_V7,10:41:53,10:51:33,90402,2,0,0
AIR_422_V7,10:53:04,10:51:43,90403,3,0,0
AIR_422_V7,10:46:31,10:51:37,90404,4,0,0
AIR_422_V7,10:53:34,10:55:08,90405,7,0,0
AIR_422_V7,11:05:08,10:57:08,90406,13,0,0
AIR_4222_V5,07:21:38,07:19:44,90401,1,0,0
AIR_4222_V5,07:14:38,07:18:39,90402,2,0,0
AIR_4222_V5,07:12:40,07:15:11,90403,3,0,0
AIR_4222_V5,07:17:33,07:22:20,90404,4,0,0
AIR_4222_V5,07:26:29,07:25:22,90405,7,0,0
AIR_4222_V5,07:33:10,07:37:15,90406,13,0,0
AIR_424_V5,11:18:56,11:22:40,90401,1,0,0
AIR_424_V5,11:19:21,11:21:18,90402,2,0,0
AIR_424_V5,11:20:33,11:24:10,90403,3,0,0
AIR_424_V5,11:27:03,11:26:04,90404,4,0,0
AIR_424_V5,11:20:15,11:18:35,90405,7,0,0
AIR_424_V5,11:30:35,11:41:04,90406,13,0,0
AIR_426_V6,11:45:30,11:47:31,90401,1,0,0
AIR_426_V6,11:43:39,11:47:33,90402,2,0,0
AIR_426_V6,11:55:19,11:44:13,90403,3,0,0
AIR_426_V6,11:50:29,11:52:07,90404,4,0,0
AIR_426_V6,12:01:13,11:48:03,90405,7,0,0
AIR_426_V6,11:57:28,12:08:23,90406,13,0,0
AIR_426_V7,11:52:20,11:51:45,90401,1,0,0
AIR_426_V7,11:48:25,11:46:17,90402,2,0,0
AIR_426_V7,11:44:42,11:49:40,90403,3,0,0
AIR_426_V7,11:43:33,11:50:06,90404,4,0,0
AIR_426_V7,11:59:58,11:49:46,90405,7,0,0
AIR_426_V7,12:04:23,12:00:05,90406,13,0,0
AIR_428_V5,12:15:13,12:20:46,90401,1,0,0
AIR_428_V5,12:19:41,12:18:00,90402,2,0,0
AIR_428_V5,12:26:09,12:18:26,90403,3,0,0
AIR_428_V5,12:23:23,12:27:39,90404,4,0,0
AIR_428_V5,12:20:58,12:17:44,90405,7,0,0
AIR_428_V5,12:39:57,12:27:02,90406,13,0,0
AIR_430_V6,12:51:22,12:39:09,90401,1,0,0
AIR_430_V6,12:53:29,12:53:36,90402,2,0,0
AIR_430_V6,12:44:24,12:46:41,90403,3,0,0
AIR_430_V6,12:49:45,12:55:04,90404,4,0,0
AIR_430_V6,12:56:14,12:48:03,90405,7,0,0
AIR_430_V6,13:03:31,12:59:53,90406,13,0,0
AIR_430_V7,12:50:24,12:39:47,90401,1,0,0
AIR_430_V7,12:44:45,12:51:40,90402,2,0,0
AIR_430_V7,12:50:20,12:49:53,90403,3,0,0
AIR_430_V7,12:44:26,12:47:09,90404,4,0,0
AIR_430_V7,12:47:32,13:01:19,90405,7,0,0
AIR_430_V7,13:02:16,13:05:02,90406,13,0,0
AIR_4304_V6,06:16:15,06:14:52,90401,1,0,0
AIR_4304_V6,06:22:01,06:25:35,90402,2,0,0
AIR_4304_V6,06:19:31,06:25:38,90403,3,0,0
AIR_4304_V6,06:18:27,06:20:46,90404,4,0,0
AIR_4304_V6,06:21:22,06:24:37,90405,7,0,0
AIR_4304_V6,06:32:19,06:28:35,90406,13,0,0
AIR_4304_V7,06:18:24,06:17:06,90401,1,0,0
AIR_4304_V7,06:12:37,06:21:59,90402,2,0,0
AIR_4304_V7,06:15:10,06:23:24,90403,3,0,0
AIR_4304_V7,06:24:22,06:20:08,90404,4,0,0
AIR_4304_V7,06:28:49,06:18:34,90405,7,0,0
AIR_4304_V7,06:28:38,06:32:20,90406,13,0,0
AIR_4308_V6,07:12:09,07:11:15,90401,1,0,0
AIR_4308_V6,07:19:35,07:14:55,90402,2,0,0
AIR_4308_V6,07:17:04,07:23:37,90403,3,0,0
AIR_4308_V6,07:15:55,07:20:59,90404,4,0,0
AIR_4308_V6,07:23:45,07:20:41,90405,7,0,0
AIR_4308_V6,07:40:04,07:40:11,90406,13,0,0
AIR_4308_V7,07:21:07,07:23:53,90401,1,0,0
AIR_4308_V7,07:23:19,07:23:02,90402,2,0,0
AIR_4308_V7,07:26:02,07:15:46,90403,3,0,0
AIR_4308_V7,07:24:45,07:19:38,90404,4,0,0
AIR_4308_V7,07:31:27,07:19:03,90405,7,0,0
AIR_4308_V7,07:34:50,07:41:31,90406,13,0,0
AIR_4312_V6,08:09:30,08:21:07,90401,1,0,0
AIR_4312_V6,08:22:31,08:11:19,90402,2,0,0
AIR_4312_V6,08:24:24,08:17:02,90403,3,0,0
AIR_4312_V6,08:13:11,08:26:04,90404,4,0,0
AIR_4312_V6,08:19:43,08:28:46,90405,7,0,0
AIR_4312_V6,08:34:01,08:27:30,90406,13,0,0
AIR_4312_V7,08:14:59,08:15:26,90401,1,0,0
AIR_4312_V7,08:11:46,08:13:37,90402,2,0,0
AIR_4312_V7,08:25:04,08:16:36,90403,3,0,0
AIR_4312_V7,08:19:46,08:15:50,90404,4,0,0
AIR_4312_V7,08:17:25,08:25:21,90405,7,0,0
AIR_4312_V7,08:31:31,08:34:54,90406,13,0,0
AIR_4316_V6,09:22:12,09:14:25,90401,1,0,0
AIR_4316_V6,09:25:21,09:22:41,90402,2,0,0
AIR_4316_V6,09:24:01,09:12:18,90403,3,0,0
AIR_4316_V6,09:21:18,09:16:14,90404,4,0,0
AIR_4316_V6,09:17:22,09:24:52,90405,7,0,0
AIR_4316_V6,09:38:08,09:31:35,90406,13,0,0
AIR_4316_V7,09:11:41,09:22:37,90401,1,0,0
AIR_4316_V7,09:22:59,09:13:16,90402,2,0,0
AIR_4316_V7,09:13:24,09:25:49,90403,3,0,0
AIR_4316_V7,09:22:05,09:18:13,90404,4,0,0
AIR_4316_V7,09:26:54,09:25:51,90405,7,0,0
AIR_4316_V7,09:34:04,09:29:53,90406,13,0,0
AIR_432_V5,13:21:19,13:09:46,90401,1,0,0
AIR_432_V5,13:25:29,13:24:58,90402,2,0,0
AIR_432_V5,13:21:17,13:26:34,90403,3,0,0
AIR_432_V5,13:22:53,13:19:35,90404,4,0,0
AIR_432_V5,13:21:12,13:20:45,90405,7,0,0
AIR_432_V5,13:37:40,13:39:27,90406,13,0,0
AIR_4320_V6,10:21:36,10:19:39,90401,1,0,0
AIR_4320_V6,10:23:04,10:22:51,90402,2,0,0
AIR_4320_V6,10:24:13,10:19:35,90403,3,0,0
AIR_4320_V6,10:25:44,10:13:18,90404,4,0,0
AIR_4320_V6,10:18:28,10:23:29,90405,7,0,0
AIR_4320_V6,10:27:31,10:38:57,90406,13,0,0
AIR_4320_V7,10:22:53,10:11:54,90401,1,0,0
AIR_4320_V7,10:17:22,10:16:02,90402,2,0,0
AIR_4320_V7,10:26:39,10:22:08,90403,3,0,0
AIR_4320_V7,10:25:09,10:14:57,90404,4,0,0
AIR_4320_V7,10:25:36,10:20:57,90405,7,0,0
AIR_4320_V7,10:35:44,10:28:31,90406,13,0,0
AIR_4324_V6,11:16:13,11:16:06,90401,1,0,0
AIR_4324_V6,11:13:58,11:17:26,90402,2,0,0
AIR_4324_V6,11:26:55,11:22:21,90403,3,0,0
AIR_4324_V6,11:16:29,11:26:37,90404,4,0,0
AIR_4324_V6,11:26:41,11:30:00,90405,7,0,0
AIR_4324_V6,11:31:43,11:33:07,90406,13,0,0
AIR_4324_V7,11:11:44,11:18:56,90401,1,0,0
AIR_4324_V7,11:19:24,11:11:26,90402,2,0,0
AIR_4324_V7,11:24:35,11:15:50,90403,3,0,0
AIR_4324_V7,11:13:58,11:17:17,90404,4,0,0
AIR_4324_V7,11:17:56,11:19:53,90405,7,0,0
AIR_4324_V7,11:41:49,11:31:16,90406,13,0,0
AIR_4328_V6,12:11:29,12:13:50,90401,1,0,0
AIR_4328_V6,12:16:46,12:16:10,90402,2,0,0
AIR_4328_V6,12:21:36,12:12:25,90403,3,0,0
AIR_4328_V6,12:20:42,12:15:19,90404,4,0,0
AIR_4328_V6,12:29:30,12:31:48,90405,7,0,0
AIR_4328_V6,12:29:20,12:28:34,90406,13,0,0
AIR_4328_V7,12:12:48,12:14:35,90401,1,0,0
AIR_4328_V7,12:18:24,12:21:57,90402,2,0,0
AIR_4328_V7,12:24:49,12:20:12,90403,3,0,0
AIR_4328_V7,12:26:22,12:20:06,90404,4,0,0
AIR_4328_V7,12:23:45,12:20:51,90405,7,0,0
AIR_4328_V7,12:29:33,12:38:15,90406,13,0,0
AIR_4332_V6,13:11:16,13:22:34,90401,1,0,0
AIR_4332_V6,13:15:42,13:13:54,90402,2,0,0
AIR_4332_V6,13:13:45,13:23:57,90403,3,0,0
AIR_4332_V6,13:17:12,13:15:42,90404,4,0,0
AIR_4332_V6,13:21:39,13:31:42,90405,7,0,0
AIR_4332_V6,13:39:02,13:28:00,90406,13,0,0
AIR_4332_V7,13:19:44,13:12:35,90401,1,0,0
AIR_4332_V7,13:17:54,13:17:54,90402,2,0,0
AIR_4332_V7,13:18:38,13:15:33,90403,3,0,0
AIR_4332_V7,13:27:23,13:13:44,90404,4,0,0
AIR_4332_V7,13:30:04,13:27:53,90405,7,0,0
AIR_4332_V7,13:34:16,13:29:05,90406,13,0,0
AIR_4336_V6,14:22:47,14:13:13,90401,1,0,0
AIR_4336_V6,14:24:05,14:19:18,90402,2,0,0
AIR_4336_V6,14:16:52,14:16:24,90403,3,0,0
AIR_4336_V6,14:18:13,14:25:18,90404,4,0,0
AIR_4336_V6,14:21:15,14:20:31,90405,7,0,0
AIR_4336_V6,14:37:49,14:39:28,90406,13,0,0
AIR_4336_V7,14:23:33,14:14:37,90401,1,0,0
AIR_4336_V7,14:16:54,14:16:03,90402,2,0,0
AIR_4336_V7,14:22:11,14:20:25,90403,3,0,0
AIR_4336_V7,14:20:00,14:25:35,90404,4,0,0
AIR_4336_V7,14:29:45,14:17:02,90405,7,0,0
AIR_4336_V7,14:34:22,14:30:35,90406,13,0,0
AIR_434_V6,13:53:31,13:45:20,90401,1,0,0
AIR_434_V6,13:51:37,13:42:33,90402,2,0,0
AIR_434_V6,13:43:29,13:56:22,90403,3,0,0
AIR_434_V6,13:48:40,13:56:31,90404,4,0,0
AIR_434_V6,13:55:31,13:56:11,90405,7,0,0
AIR_434_V6,14:09:03,14:09:13,90406,13,0,0
AIR_434_V7,13:49:47,13:39:53,90401,1,0,0
AIR_434_V7,13:42:07,13:53:13,90402,2,0,0
AIR_434_V7,13:55:21,13:50:02,90403,3,0,0
AIR_434_V7,13:46:21,13:46:45,90404,4,0,0
AIR_434_V7,13:58:06,13:57:36,90405,7,0,0
AIR_434_V7,14:02:45,14:00:18,90406,13,0,0
AIR_4340_V6,15:12:58,15:21:11,90401,1,0,0
AIR_4340_V6,15:16:15,15:22:52,90402,2,0,0
AIR_4340_V6,15:18:59,15:26:12,90403,3,0,0
AIR_4340_V6,15:16:34,15:19:28,90404,4,0,0
AIR_4340_V6,15:19:28,15:26:47,90405,7,0,0
AIR_4340_V6,15:33:23,15:37:50,90406,13,0,0
AIR_4340_V7,15:23:17,15:10:33,90401,1,0,0
AIR_4340_V7,15:18:03,15:25:48,90402,2,0,0
AIR_4340_V7,15:23:08,15:25:58,90403,3,0,0
AIR_4340_V7,15:17:34,15:25:34,90404,4,0,0
AIR_4340_V7,15:27:00,15:30:10,90405,7,0,0
AIR_4340_V7,15:41:01,15:38:47,90406,13,0,0
AIR_4344_V6,16:19:08,16:14:48,90401,1,0,0
AIR_4344_V6,16:25:21,16:25:24,90402,2,0,0
AIR_4344_V6,16:23:11,16:12:13,90403,3,0,0
AIR_4344_V6,16:26:03,16:18:03,90404,4,0,0
AIR_4344_V6,16:17:09,16:25:15,90405,7,0,0
AIR_4344_V6,16:38:12,16:28:09,90406,13,0,0
AIR_4344_V7,16:09:44,16:13:03,90401,1,0,0
AIR_4344_V7,16:24:12,16:14:39,90402,2,0,0
AIR_4344_V7,16:15:07,16:17:41,90403,3,0,0
AIR_4344_V7,16:23:06,16:24:27,90404,4,0,0
AIR_4344_V7,16:23:25,16:31:52,90405,7,0,0
AIR_4344_V7,16:38:46,16:27:12,90406,13,0,0
AIR_4346_V55,08:43:51,08:45:51,90401,1,0,0
AIR_4346_V55,08:47:43,08:52:41,90402,2,0,0
AIR_4346_V55,08:50:44,08:52:34,90403,3,0,0
AIR_4346_V55,08:46:52,08:55:32,90404,4,0,0
AIR_4346_V55,08:49:31,08:47:42,90405,7,0,0
AIR_4346_V55,09:10:15,08:57:35,90406,13,0,0
AIR_4348_V6,17:14:43,17:16:17,90401,1,0,0
AIR_4348_V6,17:19:46,17:18:22,90402,2,0,0
AIR_4348_V6,17:22:27,17:25:05,90403,3,0,0
AIR_4348_V6,17:27:09,17:22:13,90404,4,0,0
AIR_4348_V6,17:18:03,17:18:36,90405,7,0,0
AIR_4348_V6,17:27:31,17:35:39,90406,13,0,0
AIR_4348_V7,17:23:21,17:22:45,90401,1,0,0
AIR_4348_V7,17:21:19,17:14:29,90402,2,0,0
AIR_4348_V7,17:23:56,17:19:11,90403,3,0,0
AIR_4348_V7,17:15:27,17:13:56,90404,4,0,0
AIR_4348_V7,17:20:07,17:22:36,90405,7,0,0
AIR_4348_V7,17:32:32,17:32:09,90406,13,0,0
AIR_4348_V55,09:43:55,09:47:58,90401,1,0,0
AIR_4348_V55,09:41:18,09:49:08,90402,2,0,0
AIR_4348_V55,09:46:13,09:42:55,90403,3,0,0
AIR_4348_V55,09:57:03,09:49:35,90404,4,0,0
AIR_4348_V55,10:01:15,09:59:11,90405,7,0,0
AIR_4348_V55,09:59:25,10:03:10,90406,13,0,0
AIR_4350_V55,10:47:33,10:49:53,90401,1,0,0
AIR_4350_V55,10:42:31,10:47:59,90402,2,0,0
AIR_4350_V55,10:42:40,10:55:22,90403,3,0,0
AIR_4350_V55,10:56:45,10:52:14,90404,4,0,0
AIR_4350_V55,10:52:16,11:01:12,90405,7,0,0
AIR_4350_V55,11:02:14,10:57:30,90406,13,0,0
AIR_4352_V6,18:11:20,18:17:08,90401,1,0,0
AIR_4352_V6,18:20:31,18:21:52,90402,2,0,0
AIR_4352_V6,18:20:05,18:18:48,90403,3,0,0
AIR_4352_V6,18:24:09,18:27:52,90404,4,0,0
AIR_4352_V6,18:20:30,18:30:52,90405,7,0,0
AIR_4352_V6,18:31:01,18:41:17,90406,13,0,0
AIR_4352_V7,18:22:59,18:21:28,90401,1,0,0
AIR_4352_V7,18:14:53,18:12:05,90402,2,0,0
AIR_4352_V7,18:12:31,18:17:32,90403,3,0,0
AIR_4352_V7,18:19:45,18:21:31,90404,4,0,0
AIR_4352_V7,18:28:00,18:17:16,90405,7,0,0
AIR_4352_V7,18:35:50,18:35:44,90406,13,0,0
AIR_4352_V55,11:46:58,11:49:56,90401,1,0,0
AIR_4352_V55,11:45:05,11:42:21,90402,2,0,0
AIR_4352_V55,11:53:43,11:49:50,90403,3,0,0
AIR_4352_V55,11:48:22,11:52:59,90404,4,0,0
AIR_4352_V55,12:01:36,11:47:24,90405,7,0,0
AIR_4352_V55,12:00:55,12:03:30,90406,13,0,0
AIR_4354_V55,12:51:13,12:52:47,90401,1,0,0
AIR_4354_V55,12:53:49,12:47:38,90402,2,0,0
AIR_4354_V55,12:43:07,12:47:04,90403,3,0,0
AIR_4354_V55,12:57:03,12:52:34,90404,4,0,0
AIR_4354_V55,12:47:58,12:58:18,90405,7,0,0
AIR_4354_V55,13:00:18,13:06:38,90406,13,0,0
AIR_4356_V6,19:23:02,19:15:35,90401,1,0,0
AIR_4356_V6,19:24:01,19:18:51,90402,2,0,0
AIR_4356_V6,19:22:35,19:23:20,90403,3,0,0
AIR_4356_V6,19:18:13,19:20:42,90404,4,0,0
AIR_4356_V6,19:17:06,19:20:23,90405,7,0,0
AIR_4356_V6,19:35:03,19:39:41,90406,13,0,0
AIR_4356_V7,19:18:43,19:15:43,90401,1,0,0
AIR_4356_V7,19:14:31,19:12:15,90402,2,0,0
AIR_4356_V7,19:21:05,19:20:14,90403,3,0,0
AIR_4356_V7,19:25:09,19:25:20,90404,4,0,0
AIR_4356_V7,19:26:49,19:17:03,90405,7,0,0
AIR_4356_V7,19:34:46,19:31:05,90406,13,0,0
AIR_4356_V55,13:50:39,13:53:40,90401,1,0,0
AIR_4356_V55,13:53:17,13:54:33,90402,2,0,0
AIR_4356_V55,13:53:54,13:50:00,90403,3,0,0
AIR_4356_V55,13:45:29,13:52:06,90404,4,0,0
AIR_4356_V55,13:48:58,13:57:05,90405,7,0,0
AIR_4356_V55,13:58:22,13:57:58,90406,13,0,0
AIR_436_V5,14:17:17,14:23:15,90401,1,0,0
AIR_436_V5,14:22:33,14:11:08,90402,2,0,0
AIR_436_V5,14:25:06,14:12:25,90403,3,0,0
AIR_436_V5,14:13:22,14:25:41,90404,4,0,0
AIR_436_V5,14:27:46,14:21:00,90405,7,0,0
AIR_436_V5,14:35:04,14:40:50,90406,13,0,0
AIR_4360_V6,20:12:07,20:15:56,90401,1,0,0
AIR_4360_V6,20:20:11,20:18:30,90402,2,0,0
AIR_4360_V6,20:14:12,20:23:41,90403,3,0,0
AIR_4360_V6,20:20:44,20:26:05,90404,4,0,0
AIR_4360_V6,20:22:31,20:20:50,90405,7,0,0
AIR_4360_V6,20:32:29,20:40:24,90406,13,0,0
AIR_4360_V7,20:16:35,20:10:51,90401,1,0,0
AIR_4360_V7,20:16:35,20:22:58,90402,2,0,0
AIR_4360_V7,20:22:52,20:13:53,90403,3,0,0
AIR_4360_V7,20:16:42,20:23:04,90404,4,0,0
AIR_4360_V7,20:31:34,20:25:41,90405,7,0,0
AIR_4360_V7,20:39:22,20:35:00,90406,13,0,0
AIR_4364_V6,21:18:27,21:14:53,90401,1,0,0
AIR_4364_V6,21:25:27,21:15:58,90402,2,0,0
AIR_4364_V6,21:16:18,21:25:36,90403,3,0,0
AIR_4364_V6,21:18:07,21:14:19,90404,4,0,0
AIR_4364_V6,21:28:47,21:23:43,90405,7,0,0
AIR_4364_V6,21:27:30,21:37:29,90406,13,0,0
AIR_4364_V7,21:14:31,21:16:10,90401,1,0,0
AIR_4364_V7,21:11:19,21:20:28,90402,2,0,0
AIR_4364_V7,21:18:43,21:26:37,90403,3,0,0
AIR_4364_V7,21:27:37,21:19:19,90404,4,0,0
AIR_4364_V7,21:17:19,21:28:20,90405,7,0,0
AIR_4364_V7,21:37:35,21:28:31,90406,13,0,0
AIR_4370_V6,22:44:44,22:43:23,90401,1,0,0
AIR_4370_V6,22:46:20,22:54:46,90402,2,0,0
AIR_4370_V6,22:45:08,22:46:10,90403,3,0,0
AIR_4370_V6,22:48:21,22:50:42,90404,4,0,0
AIR_4370_V6,22:55:30,22:51:58,90405,7,0,0
AIR_4370_V6,23:04:09,23:03:28,90406,13,0,0
AIR_4370_V7,22:43:19,22:48:42,90401,1,0,0
AIR_4370_V7,22:42:28,22:51:10,90402,2,0,0
AIR_4370_V7,22:55:29,22:43:46,90403,3,0,0
AIR_4370_V7,22:48:11,22:45:17,90404,4,0,0
AIR_4370_V7,22:55:16,22:52:32,90405,7,0,0
AIR_4370_V7,23:03:04,23:10:36,90406,13,0,0
AIR_4374_V6,23:46:03,23:43:40,90401,1,0,0
AIR_4374_V6,23:54:02,23:53:17,90402,2,0,0
AIR_4374_V6,23:48:35,23:52:10,90403,3,0,0
AIR_4374_V6,23:44:05,23:56:23,90404,4,0,0
AIR_4374_V6,23:59:53,23:53:55,90405,7,0,0
AIR_4374_V6,24:02:02,24:11:44,90406,13,0,0
AIR_4374_V7,23:51:17,23:39:48,90401,1,0,0
AIR_4374_V7,23:41:59,23:51:38,90402,2,0,0
AIR_4374_V7,23:52:47,23:48:01,90403,3,0,0
AIR_4374_V7,23:44:28,23:50:39,90404,4,0,0
AIR_4374_V7,23:48:10,23:54:21,90405,7,0,0
AIR_4374_V7,24:04:14,23:57:51,90406,13,0,0
AIR_438_V5,14:42:12,14:49:13,90401,1,0,0
AIR_438_V5,14:51:41,14:55:38,90402,2,0,0
AIR_438_V5,14:53:50,14:45:57,90403,3,0,0
AIR_438_V5,14:52:41,14:47:02,90404,4,0,0
AIR_438_V5,15:00:15,14:56:47,90405,7,0,0
AIR_438_V5,15:07:06,15:00:05,90406,13,0,0
AIR_438_V6,14:41:19,14:44:17,90401,1,0,0
AIR_438_V6,14:50:12,14:43:15,90402,2,0,0
AIR_438_V6,14:48:35,14:48:40,90403,3,0,0
AIR_438_V6,14:54:24,14:49:21,90404,4,0,0
AIR_438_V6,14:56:17,14:50:32,90405,7,0,0
AIR_438_V6,15:09:52,15:09:48,90406,13,0,0
AIR_438_V7,14:45:53,14:52:58,90401,1,0,0
AIR_438_V7,14:47:38,14:49:28,90402,2,0,0
AIR_438_V7,14:46:58,14:45:09,90403,3,0,0
AIR_438_V7,14:47:49,14:45:04,90404,4,0,0
AIR_438_V7,15:00:52,14:58:58,90405,7,0,0
AIR_438_V7,15:08:27,15:00:42,90406,13,0,0
AIR_4382_V5,17:14:15,17:15:04,90401,1,0,0
AIR_4382_V5,17:25:56,17:19:48,90402,2,0,0
AIR_4382_V5,17:24:21,17:14:03,90403,3,0,0
AIR_4382_V5,17:24:33,17:26:07,90404,4,0,0
AIR_4382_V5,17:18:54,17:24:51,90405,7,0,0
AIR_4382_V5,17:28:45,17:37:34,90406,13,0,0
AIR_440_V5,15:17:07,15:20:08,90401,1,0,0
AIR_440_V5,15:25:00,15:13:19,90402,2,0,0
AIR_440_V5,15:23:47,15:26:57,90403,3,0,0
AIR_440_V5,15:24:25,15:18:08,90404,4,0,0
AIR_440_V5,15:19:50,15:22:12,90405,7,0,0
AIR_440_V5,15:36:51,15:39:54,90406,13,0,0
AIR_442_V5,15:44:41,15:42:57,90401,1,0,0
AIR_442_V5,15:41:25,15:43:52,90402,2,0,0
AIR_442_V5,15:51:58,15:52:11,90403,3,0,0
AIR_442_V5,15:52:58,15:53:39,90404,4,0,0
AIR_442_V5,15:56:15,15:59:17,90405,7,0,0
